urn,name,phase,ks2_expected_pct,ks2_higher_pct,ks2_reading_avg,ks2_maths_avg,p8,a8,ebacc_aps,eng_maths_5plus_pct,year,source_url
143403,Hareclive E-ACT Academy,Primary,55.0,4.0,101.0,99.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
143558,Oldfield Park Junior School,Primary,69.0,3.0,107.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
143559,Widcombe CofE Junior School,Primary,72.0,8.0,109.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
143560,St Philip's CofE Primary School,Primary,85.0,18.0,109.0,108.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
143915,Norton Hill Primary School,Primary,,,,,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
144281,Farrington Gurney Church of England Primary School,Primary,87.0,13.0,106.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
144282,Marksbury CofE Primary School,Primary,50.0,25.0,106.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
144283,Chandag Primary School,Primary,,,,,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
144509,The City Academy Bristol,Secondary,,,,,0.07,37.5,3.18,25.8,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
144724,St Mary Redcliffe Church of England Primary School,Primary,47.0,0.0,107.0,101.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
