urn,attainment8,progress8,ebacc_aps,eng_maths_5plus_pct
108544,42.3,,3.48,0.0
108547,35.6,,3.44,0.0
108549,14.7,,1.28,0.0
108551,,,,
108627,56.2,0.36,4.83,67.0
108628,42.8,0.4,3.44,28.0
108638,55.3,0.5,4.7,63.0
108639,49.3,-0.05,4.29,44.0
108640,45.0,-0.14,4.08,34.0
108641,37.6,-0.99,2.88,23.0
108642,41.5,-0.23,3.57,30.0
108644,43.3,-0.38,3.71,37.0
108645,40.7,-0.58,3.33,28.0
108652,,,,
108653,1.6,-1.57,0.05,0.0
108657,,,,
108727,40.8,-0.51,3.35,29.0
108730,42.0,-0.47,3.42,38.0
108731,44.4,-0.35,3.86,40.0
108738,9.0,-0.79,0.77,0.0
108741,,,,
108873,41.5,,3.36,42.0
108877,,,,
108886,,,,
109319,46.1,0.09,3.77,42.0
109327,54.4,0.39,4.65,57.0
109329,49.6,0.13,4.24,45.0
109331,45.0,-0.21,3.69,32.0
109334,27.2,,2.47,0.0
109335,27.8,,1.91,0.0
109336,67.7,,5.93,88.0
109337,42.3,,2.64,0.0
109346,22.9,,1.87,0.0
109347,41.1,,3.16,0.0
109348,17.6,,0.88,0.0
109353,,,,
109360,28.1,,0.99,0.0
109362,30.7,,2.52,0.0
109369,12.3,,0.5,0.0
109370,35.7,,2.38,0.0
109371,30.9,,2.14,0.0
109374,27.4,,1.22,0.0
109382,29.3,,2.82,10.0
109385,2.3,-1.98,0.02,0.0
109386,13.7,-0.9,1.15,18.0
109391,,,,
109393,,,,
109403,,,,
109406,8.9,-1.25,0.53,4.0
109407,1.0,-1.5,0.02,0.0
109409,,,,
109410,,,,
109661,40.9,-0.34,3.97,36.0
109669,42.8,0.08,3.82,34.0
109686,41.7,-0.01,3.66,40.0
109690,41.4,0.29,3.13,30.0
109707,43.3,-0.03,3.71,37.0
109709,32.4,-1.04,2.87,24.0
109717,47.6,,3.97,48.0
109718,14.2,,1.03,0.0
109727,14.5,,0.49,0.0
109728,28.9,,1.53,0.0
109739,,,,
109742,,,,
109744,,,,
109746,,,,
110048,51.3,0.31,4.89,59.0
110062,47.5,0.16,4.16,51.0
110063,46.3,-0.23,3.92,47.0
110069,42.5,-0.22,3.63,38.0
110071,39.1,-0.41,3.33,26.0
110078,34.1,-0.81,2.82,21.0
110084,77.5,0.8,7.39,98.0
110102,57.1,0.78,5.17,68.0
110107,46.9,0.12,4.16,43.0
110109,30.7,,2.89,0.0
110110,26.3,,2.29,0.0
110111,53.5,,4.77,0.0
110117,32.9,,2.63,0.0
110119,37.3,,3.52,0.0
110120,31.8,,1.41,0.0
110121,35.7,,3.5,0.0
110123,43.4,,2.98,0.0
110125,18.2,,0.65,0.0
110128,56.4,,5.1,48.0
110132,32.0,,3.28,0.0
110136,32.5,,2.01,7.0
110137,37.3,,3.43,0.0
110148,31.8,,3.01,0.0
110151,18.9,,0.14,0.0
110152,66.6,,5.18,85.0
110153,29.8,,2.77,0.0
110155,,,,
110158,24.4,,1.69,0.0
110159,24.0,,2.17,0.0
110162,55.5,,4.81,85.0
110165,26.7,,1.35,0.0
110169,7.5,,0.63,0.0
110178,16.5,,1.19,17.0
110180,36.4,0.32,2.79,20.0
110181,2.1,-3.39,0.0,0.0
110182,,,,
110183,,,,
110186,,,,
110187,1.0,-1.49,0.05,0.0
110190,,,,
110484,39.4,-0.43,3.3,29.0
110488,43.5,-0.07,3.74,36.0
110500,48.0,0.4,3.74,48.0
110516,50.5,0.57,4.42,50.0
110517,44.9,-0.04,4.09,34.0
110532,42.1,-0.57,3.64,33.0
110533,46.5,0.16,4.06,42.0
110536,49.8,,4.23,42.0
110544,49.3,,4.26,0.0
110545,35.8,,3.12,0.0
110547,24.6,,1.36,0.0
110548,27.2,,1.23,0.0
110549,57.4,,4.72,72.0
110555,56.3,,3.51,69.0
110564,,,,
110567,61.5,,4.55,86.0
110575,,,,
110576,1.3,-1.93,0.03,0.0
110578,,,,
110579,0.6,-1.88,0.0,0.0
110581,,,,
110582,,,,
110584,,,,
110585,1.5,-1.87,0.08,0.0
110587,,,,
110592,,,,
110882,36.4,-0.37,3.05,25.0
110907,44.7,0.42,3.69,40.0
110910,60.2,,5.63,71.0
110912,52.4,,3.35,73.0
110914,40.5,,3.84,0.0
110916,49.1,,4.52,61.0
110920,,,,
110921,58.9,,5.16,62.0
110923,81.8,,7.93,99.0
110924,47.5,,4.7,0.0
110925,50.5,,4.12,0.0
110926,52.3,,3.56,59.0
110930,10.8,,0.77,0.0
110932,8.6,,0.82,0.0
110935,3.3,,0.4,0.0
110943,1.0,-1.53,0.0,0.0
110948,,,,
110951,,,,
111396,35.1,-0.65,2.66,21.0
111414,48.7,-0.11,4.31,48.0
111417,41.4,-0.06,3.38,36.0
111419,44.5,-0.21,3.63,32.0
111422,50.9,0.4,4.44,49.0
111424,56.6,0.9,5.1,67.0
111429,38.2,-0.7,3.35,26.0
111430,49.1,-0.21,4.32,48.0
111440,47.5,-0.03,4.32,46.0
111443,50.7,-0.06,4.39,58.0
111450,53.2,0.36,4.79,59.0
111451,37.4,-0.55,3.3,26.0
111454,51.1,0.18,4.46,52.0
111456,40.2,-0.49,3.41,29.0
111457,40.4,-0.62,3.2,30.0
111471,49.1,,2.84,0.0
111473,31.8,,2.84,0.0
111474,35.0,,2.77,48.0
111478,61.9,,5.35,71.0
111482,38.2,,3.26,37.0
111483,52.2,,4.38,58.0
111484,56.6,,4.8,65.0
111485,17.1,,1.09,0.0
111486,66.2,,5.88,78.0
111494,,,,
111495,,,,
111496,,,,
111498,,,,
111499,,,,
111501,5.0,-2.19,0.16,0.0
111503,1.7,-2.11,0.11,0.0
111504,3.9,-1.49,0.4,0.0
111505,,,,
111507,,,,
111508,,,,
111511,,,,
111514,,,,
111515,12.5,-2.06,1.4,21.0
111517,9.6,-1.46,0.79,0.0
111731,45.4,-0.33,3.91,42.0
111748,39.9,-0.63,3.31,30.0
111767,60.6,,5.5,73.0
111768,30.0,,1.58,0.0
111769,32.1,,3.14,0.0
111773,0.7,-2.06,0.06,0.0
111777,,,,
112041,41.6,-0.34,3.49,33.0
112045,45.7,-0.09,3.76,44.0
112054,45.2,-0.07,3.79,36.0
112055,49.5,0.03,4.04,53.0
112067,42.8,-0.25,3.57,38.0
112071,55.4,,4.76,61.0
112076,34.8,,2.47,0.0
112077,45.9,,4.05,0.0
112082,,,,
112375,27.8,-1.18,2.44,4.0
112377,33.5,-1.29,2.94,12.0
112378,44.4,0.55,3.35,26.0
112379,42.4,-0.12,3.51,29.0
112382,39.2,-0.76,3.24,27.0
112383,43.6,-0.4,3.72,29.0
112384,51.6,0.42,4.41,31.0
112385,51.2,0.12,4.5,51.0
112388,40.7,-0.5,3.36,35.0
112393,40.3,-0.11,3.53,31.0
112397,46.5,-0.11,4.17,45.0
112398,44.4,-0.26,3.78,37.0
112399,41.6,-0.45,3.71,20.0
112442,25.4,,1.79,16.0
112446,12.0,,0.46,0.0
112451,40.7,,3.09,0.0
112452,7.7,,0.56,0.0
112453,9.9,,0.03,0.0
112456,8.6,,0.35,0.0
112461,7.9,,0.61,11.0
112464,,,,
112465,0.5,-1.53,0.04,0.0
112466,,,,
112932,47.3,0.04,4.1,49.0
112936,44.1,-0.11,3.77,37.0
112939,39.2,-0.42,3.0,23.0
112949,44.6,-0.11,3.83,39.0
112951,31.8,-0.3,2.56,15.0
112956,55.3,0.53,5.25,61.0
112958,40.2,-0.34,3.39,27.0
112961,44.9,0.48,3.63,34.0
