urn,name,phase,type,la,postcode,admissions_policy,mat,pupils,age_low,age_high,sixth_form,ofsted_region,region,constituency,idaci_quintile,ofsted_grade,ofsted_date,ofsted_pub_date
108911,Ashley Down Primary School,Primary,Community School,Bristol,BS7 9PD,Not applicable,NULL,397,4,11,Does not have a sixth form,South West,South West,Bristol North West,2,2,30/01/2019,28/02/2019
108919,Broomhill Junior School,Primary,Community School,Bristol,BS4 4NZ,Not applicable,NULL,199,7,11,Does not have a sixth form,South West,South West,Bristol East,4,2,23/11/2011,15/12/2011
108920,Chester Park Junior School,Primary,Community School,Bristol,BS16 3NX,Not applicable,NULL,291,7,11,Does not have a sixth form,South West,South West,Bristol North East,4,2,12/09/2012,04/10/2012
108921,Chester Park Infant School,Primary,Community School,Bristol,BS16 3QG,Not applicable,NULL,233,4,7,Does not have a sixth form,South West,South West,Bristol North East,4,2,20/03/2019,25/04/2019
108931,Glenfrome Primary School,Primary,Community School,Bristol,BS5 6TY,Not applicable,NULL,425,4,11,Does not have a sixth form,South West,South West,Bristol North East,4,2,17/02/2016,15/03/2016
108956,St Anne's Infant School,Primary,Foundation School,Bristol,BS4 3QJ,Not applicable,NULL,193,3,7,Does not have a sixth form,South West,South West,Bristol East,3,2,10/01/2023,08/02/2023
108960,Sefton Park Infant School,Primary,Community School,Bristol,BS7 9BJ,Not applicable,NULL,213,3,7,Does not have a sixth form,South West,South West,Bristol Central,1,2,11/02/2020,27/04/2020
108961,Sefton Park Junior School,Primary,Community School,Bristol,BS7 9BJ,Not applicable,NULL,226,7,11,Does not have a sixth form,South West,South West,Bristol Central,2,2,05/06/2013,27/06/2013
108964,Southville Primary School,Primary,Community School,Bristol,BS3 1EB,Not applicable,NULL,632,3,11,Does not have a sixth form,South West,South West,Bristol South,2,2,12/09/2012,24/10/2012
108966,Summerhill Infant School,Primary,Community School,Bristol,BS5 7LE,Not applicable,NULL,175,5,7,Does not have a sixth form,South West,South West,Bristol East,4,2,22/01/2013,20/02/2013
108970,Upper Horfield Primary School,Primary,Community School,Bristol,BS7 0PU,Not applicable,NULL,182,2,11,Does not have a sixth form,South West,South West,Bristol North West,5,3,20/06/2023,14/09/2023
108975,Holymead Primary School,Primary,Community School,Bristol,BS4 4LE,Not applicable,NULL,602,4,11,Does not have a sixth form,South West,South West,Bristol East,3,2,07/05/2014,03/06/2014
108980,Brentry Primary School,Primary,Community School,Bristol,BS10 6RG,Not applicable,NULL,209,4,11,Does not have a sixth form,South West,South West,Bristol North West,5,2,22/09/2021,14/11/2021
108983,Broomhill Infant & Nursery School,Primary,Foundation School,Bristol,BS4 4UY,Not applicable,NULL,198,3,7,Does not have a sixth form,South West,South West,Bristol East,4,2,19/10/2022,04/12/2022
109007,Twerton Infant School,Primary,Community School,Bath and North East Somerset,BA2 1QR,Not applicable,NULL,150,2,7,Does not have a sixth form,South West,South West,Bath,5,2,13/03/2023,18/05/2023
109089,Paulton Junior School,Primary,Community School,Bath and North East Somerset,BS39 7QY,Not applicable,NULL,257,7,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,2,Not judged,04/03/2025,03/04/2025
109110,Hannah More Primary School,Primary,Community School,Bristol,BS2 0LT,Not applicable,NULL,223,4,11,Does not have a sixth form,South West,South West,Bristol East,5,Not judged,07/05/2025,17/06/2025
