urn,name,phase,year,expected_pct,higher_pct,a8,p8
145517,St Stephens Church School,Primary,2023,78.0,14.0,,
145517,St Stephens Church School,Primary,2024,77.0,18.0,,
145582,Bathford Church School,Primary,2023,67.0,7.0,,
145582,Bathford Church School,Primary,2024,81.0,19.0,,
145583,Freshford Church School,Primary,2023,88.0,33.0,,
145583,Freshford Church School,Primary,2024,100.0,36.0,,
145716,St Michaels Junior Church School,Primary,2023,13.0,0.0,,
145716,St Michaels Junior Church School,Primary,2024,31.0,0.0,,
145899,Mulberry Park Educate Together Primary Academy,Primary,2023,,,,
145899,Mulberry Park Educate Together Primary Academy,Primary,2024,,,,
146101,Evergreen Primary Academy,Primary,2023,67.0,13.0,,
146101,Evergreen Primary Academy,Primary,2024,74.0,0.0,,
146261,Stoke Park Primary School,Primary,2023,48.0,7.0,,
146261,Stoke Park Primary School,Primary,2024,37.0,0.0,,
146263,Roundhill Primary School,Primary,2023,36.0,6.0,,
146263,Roundhill Primary School,Primary,2024,10.0,0.0,,
146396,St Julian's Church School,Primary,2023,85.0,23.0,,
146396,St Julian's Church School,Primary,2024,91.0,9.0,,
146409,Westfield Primary School,Primary,2023,62.0,5.0,,
146409,Westfield Primary School,Primary,2024,73.0,5.0,,
146424,Shoscombe Church School,Primary,2023,64.0,0.0,,
146424,Shoscombe Church School,Primary,2024,88.0,6.0,,
146572,Wansdyke Primary School,Primary,2023,62.0,7.0,,
146572,Wansdyke Primary School,Primary,2024,63.0,7.0,,
146687,Cheddar Grove Primary School,Primary,2023,75.0,3.0,,
146687,Cheddar Grove Primary School,Primary,2024,66.0,3.0,,
146689,Ubley Church of England Primary School,Primary,2023,57.0,14.0,,
146689,Ubley Church of England Primary School,Primary,2024,67.0,22.0,,
146707,Stanton Drew Primary School,Primary,2023,50.0,0.0,,
146707,Stanton Drew Primary School,Primary,2024,60.0,0.0,,
146787,East Harptree Church of England Primary School,Primary,2023,73.0,18.0,,
146787,East Harptree Church of England Primary School,Primary,2024,42.0,8.0,,
146788,Bishop Sutton Primary School,Primary,2023,74.0,7.0,,
146788,Bishop Sutton Primary School,Primary,2024,58.0,4.0,,
146952,Castle Primary School,Primary,2023,57.0,9.0,,
146952,Castle Primary School,Primary,2024,48.0,2.0,,
146964,May Park Primary School,Primary,2023,24.0,0.0,,
146964,May Park Primary School,Primary,2024,44.0,3.0,,
146972,Beechen Cliff School,Secondary,2024,,,57.1,0.45
146976,Cameley CEVC Primary School,Primary,2023,33.0,0.0,,
146976,Cameley CEVC Primary School,Primary,2024,39.0,0.0,,
146978,Pensford Primary School,Primary,2023,69.0,15.0,,
146978,Pensford Primary School,Primary,2024,82.0,9.0,,
146979,Chew Magna Primary School,Primary,2023,20.0,0.0,,
146979,Chew Magna Primary School,Primary,2024,57.0,0.0,,
147072,Trinity Academy,Secondary,2024,,,50.7,0.53
147173,Peasedown St John Primary School,Primary,2023,52.0,3.0,,
147173,Peasedown St John Primary School,Primary,2024,47.0,3.0,,
147219,Blaise High School,Secondary,2024,,,40.4,-0.3
147555,Swainswick Church School,Primary,2023,80.0,10.0,,
147555,Swainswick Church School,Primary,2024,63.0,0.0,,
147652,Avanti Gardens School,Primary,2023,25.0,0.0,,
147652,Avanti Gardens School,Primary,2024,39.0,0.0,,
147800,Whitchurch Primary School,Primary,2023,55.0,10.0,,
147800,Whitchurch Primary School,Primary,2024,70.0,7.0,,
147801,St Mark's CofE School,Secondary,2024,,,50.6,0.74
147861,Two Rivers Church of England Primary,Primary,2023,,,,
147861,Two Rivers Church of England Primary,Primary,2024,,,,
147890,St Mary's CofE Primary School,Primary,2023,77.0,14.0,,
147890,St Mary's CofE Primary School,Primary,2024,61.0,13.0,,
147993,St Mary's Church of England Primary School,Primary,2023,33.0,0.0,,
147993,St Mary's Church of England Primary School,Primary,2024,40.0,5.0,,
148516,St Nicholas Church School,Primary,2023,49.0,3.0,,
148516,St Nicholas Church School,Primary,2024,56.0,4.0,,
148679,St Werburgh's Primary School,Primary,2023,61.0,11.0,,
148679,St Werburgh's Primary School,Primary,2024,65.0,6.0,,
148841,Willow Park CofE Primary School,Primary,2023,40.0,0.0,,
148841,Willow Park CofE Primary School,Primary,2024,33.0,0.0,,
148942,St Bernard's Catholic Primary School,Primary,2023,55.0,0.0,,
148942,St Bernard's Catholic Primary School,Primary,2024,60.0,7.0,,
149121,Cabot Primary School,Primary,2023,25.0,0.0,,
149121,Cabot Primary School,Primary,2024,56.0,0.0,,
149296,Bridge Farm Primary School,Primary,2023,73.0,15.0,,
149296,Bridge Farm Primary School,Primary,2024,69.0,13.0,,
149783,Oasis Academy Daventry Road,Secondary,2024,,,,
149784,Oasis Academy Temple Quarter,Secondary,2024,,,,
149915,St Nicholas of Tolentine Catholic Primary School,Primary,2023,,,,
149915,St Nicholas of Tolentine Catholic Primary School,Primary,2024,40.0,0.0,,
150718,Wicklea Academy,Primary,2023,,,,
150718,Wicklea Academy,Primary,2024,,,,
151299,E-Act Barton Hill Academy,Primary,2023,,,,
151299,E-Act Barton Hill Academy,Primary,2024,,,,
151302,E-Act Merchants' Academy,Secondary,2024,,,,
151303,E-Act Montpelier High School,Secondary,2024,,,,
